casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.42770957946777,3,100000.0,1.36303e-05,2.36281e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.553738594055176,3,100000.0,1.05535e-05,1.24659e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.46412658691406,3,100000.0,1.05535e-05,1.24659e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.524139165878296,3,100000.0,1.41317e-05,8.73991e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.36710453033447,3,100000.0,1.41317e-05,8.73991e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.4206178188324,3,100000.0,1.41317e-05,8.73991e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.390610694885254,3,100000.0,1.82495e-05,7.27233e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.434189319610596,3,100000.0,1.82495e-05,7.27233e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.470197439193726,3,100000.0,1.82495e-05,7.27233e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.659239768981934,3,100000.0,2.22115e-05,6.64072e-07
