casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7621700763702393,1,6350.0,0.0243336,0.000607288
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,10,37,100000.0,300.0,0.0,0.25,85000.0,0.7731719017028809,1,6350.0,0.0243336,0.000607288
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,1.0732393264770508,1,7350.0,0.00129442,5.58631e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,1.0932447910308838,1,7350.0,0.00129442,5.58631e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9212050437927246,1,6100.0,0.0026524,8.48708e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,1.081578016281128,1,7350.0,0.00129442,5.58631e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9222040176391602,1,6100.0,0.0026524,8.48708e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.95821213722229,1,6100.0,0.0026524,8.48708e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9322078227996826,1,6100.0,0.00438217,0.000118174
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9152040481567383,1,6100.0,0.00438217,0.000118174
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.21666666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.923206090927124,1,6100.0,0.00438217,0.000118174
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9382100105285645,1,6100.0,0.00621759,0.000153074
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9102046489715576,1,6100.0,0.00621759,0.000153074
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9072034358978271,1,6100.0,0.00621759,0.000153074
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9032015800476074,1,6100.0,0.00805869,0.000188968
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.934208869934082,1,6100.0,0.00805869,0.000188968
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.3833333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9222066402435303,1,6100.0,0.00805869,0.000188968
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.922205924987793,1,6100.0,0.00989935,0.000228798
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.8911983966827393,1,6100.0,0.00989935,0.000228798
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.4666666666666666,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.8951988220214844,1,6100.0,0.00989935,0.000228798
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.8822016716003418,1,6050.0,0.0117288,0.000272506
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.8,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,16,37,100000.0,300.0,0.0,0.25,85000.0,0.9422130584716797,1,6050.0,0.0117288,0.000272506
