casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.046933650970459,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.08787639344404101,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.6390767097473145,1,19200.0,0.000523576,1.07353e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.283987045288086,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.0022246837615967,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.2929883003234863,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.20961440008267682,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.0272290706634521,1,10950.0,0.00127154,2.58963e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.13572088082974532,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,1.3009896278381348,1,14200.0,0.000814712,1.67223e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.20104455947875977,2,950.0,1.23171,0.0156754
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2180485725402832,2,950.0,1.23171,0.0156754
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.5,0.8,0.0001,0.01,0,0,100000,1,2,1,53,37,100000.0,300.0,0.0,0.25,85000.0,0.3010671138763428,2,950.0,1.23171,0.0156754
