casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,1000,37,100000.0,300.0,0.0,0.25,85000.0,146.3425407409668,3,100000.0,7.34602e-05,1.85688e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,1000,37,100000.0,300.0,0.0,0.25,85000.0,146.69253206253052,3,100000.0,7.34602e-05,1.85688e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,1000,37,100000.0,300.0,0.0,0.25,85000.0,147.12912583351135,3,100000.0,7.34602e-05,1.85688e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,109.29147100448608,1,54150.0,9.15883e-05,1.58539e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,109.09350347518921,1,54150.0,9.15883e-05,1.58539e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.3180708885192871,1,11700.0,0.00984329,0.000165534
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.3210718631744385,1,11700.0,0.00984329,0.000165534
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.32207250595092773,1,11700.0,0.00984329,0.000165534
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.3320741653442383,1,10550.0,0.00530226,9.94837e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.3400752544403076,1,10550.0,0.00530226,9.94837e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.3320739269256592,1,10550.0,0.00530226,9.94837e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.39308857917785645,1,11200.0,0.00535902,8.96354e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.37308454513549805,1,11200.0,0.00535902,8.96354e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,0.37908387184143066,1,11200.0,0.00535902,8.96354e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.3830850124359131,1,8700.0,0.0045181,8.14806e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.39908909797668457,1,8700.0,0.0045181,8.14806e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,0.48810815811157227,1,8700.0,0.0045181,8.14806e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.5521235466003418,1,9200.0,0.00147013,4.79252e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.5856575965881348,1,9200.0,0.00147013,4.79252e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,0.6611478328704834,1,9200.0,0.00147013,4.79252e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,1.3863093852996826,1,17050.0,0.000723512,1.62091e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,1.3693056106567383,1,17050.0,0.000723512,1.62091e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,1.3893237113952637,1,17050.0,0.000723512,1.62091e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,109.26534509658813,1,54150.0,9.15883e-05,1.58539e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0.5,0,100000,1,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,2.6876168251037598,1,21900.0,0.000402094,6.39598e-06
