casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.2,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2540576457977295,2,250.0,0.211935,0.00282538
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.2,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.25305795669555664,2,250.0,0.211935,0.00282538
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.2,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.26605916023254395,2,250.0,0.311373,0.0046738
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.2,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2620582580566406,2,250.0,0.311373,0.0046738
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.2,0.8,0.0001,0.01,0,0,100000,5,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2620582580566406,2,250.0,0.311373,0.0046738
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.24037671089172363,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.241377592086792,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.243377685546875,2,1,inf,inf
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.256380558013916,2,50.0,3.77871,0.0437759
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2563812732696533,2,50.0,3.77871,0.0437759
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,2,2,53,37,100000.0,300.0,0.0,0.25,85000.0,0.2433784008026123,2,50.0,3.77871,0.0437759
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.5686733722686768,1,5850.0,0.0101186,0.000169922
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.554671049118042,1,5850.0,0.0101186,0.000169922
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,3,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.50333571434021,1,5850.0,0.0101186,0.000169922
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.9264299869537354,1,5850.0,0.00996074,0.000169388
bump,287.0,1.4,1004.5000000000001,717.5000000000001,1.15,0.8,0.0001,0.01,0,0,100000,4,2,53,37,100000.0,300.0,0.0,0.25,85000.0,1.935431957244873,1,5850.0,0.00996074,0.000169388
